sample_id,YEAR,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,"mat_dimension(bulk, film, 1D, 2D)",GROUP,BASEMAT,Composition_by_element,Composition_detailed,SINTERING
358,2021.0,10.1126/science.abb3517,Figure 4,AgSb0.94Cd0.06Te2,AgSb1–xCdxTe2,,AgSbQ2,AgSbTe2,AgSbCdTe,AgSb0.94Cd0.06Te2,
359,2019.0,10.1126/science.aax5123,Figure 6(a) ,x = 0.09,SnS1-xSex,,Sulfide,SnS,SnSSe,SnS0.91Se0.09,
360,2021.0,10.1126/science.abe1292,Figure 4(d),"x = 0.25, y = 0.10",Pb0.89Sb0.012Sn0.1Se0.5Te0.25S0.25,,Selenide,PbSe,PbSbSnSeTeS,Pb0.89Sb0.012Sn0.1Se0.5Te0.25S0.25,
361,2019.0,10.1126/science.aax7792,Figure 4(f),x = 0.5,Mg3.2Bi1.298Sb0.7Te0.002,,Mg3Sb2,Mg3Bi2,MgBiSbTe,Mg3.2Bi1.298Sb0.7Te0.002,
362,2020.0,10.1039/d0ee02638g,Figure 5(f),x = 0.004,Sb2Te3(Sn0.006Re0.004Te)8,,Bi2Te3,Sb2Te3,SbTeSnReTe,Sb2Te3(Sn0.006Re0.004Te)8,
363,2021.0,10.1039/d0ee03459b,Figure 9(b),n = 0.3,Cu0.033PbSb0.03TeSe0.06,,PbTe,PbTe,CuPbSbTeSe,Cu0.033PbSb0.03TeSe0.06,
364,2021.0,10.1039/d0ee02791j,Figure 2(d),Ge0.92Sb0.04Bi0.04Te0.95Se0.05,Ge0.92Sb0.04Bi0.04Te0.95Se0.05,,GeTe,GeTe,GeSbBiTeSe,Ge0.92Sb0.04Bi0.04Te0.95Se0.05,
365,2016.0,10.1039/d0ee01349h,Figure 2(a),BTS+15Te+0.20Sb,Bi1.8Sb0.2Te2.7Se0.3 + 15 wt% Te,,Bi2Te3,Bi2Te3,BiSbTeSe,Bi1.8Sb0.2Te2.7Se0.3 + 15 wt% Te,
366,2019.0,10.1039/c9ee01137d,Figure 6(a) ,x = 0.02,PbTeCu0.002,,PbTe,PbTe,PbTeCu,PbTeCu0.002,
367,2020.0,10.1039/c9ee03087e,Figure 8,x = 6%,Pb0.98K0.02Se + 6% CdSe,,Selenide,PbSe,PbKSeCdSe,Pb0.98K0.02Se + 6% CdSe,
368,2020.0,10.1039/c9ee03897c,Figure 6(c) ,"x = 1, out of plane",SnSe0.95+x%PbBr2,,Selenide,SnSe,SnSePbBr2,SnSe0.95 + 1% PbBr2,
369,2019.0,10.1039/c8ee03386b,Figure 7(c) ,x=3,PbSe + 3% CdSe,,Selenide,PbSe,PbSeCdSe,PbSe + 3% CdSe,
372,2016.0,10.1039/c6ee02017h,Figure 1(b),M: Cu x = 0.005,,,Bi2Te3,Bi2Te3,"BiSbMTe (M=Cd, Cu, Ag)",Bi0.5Sb1.495Cu0.005Te3,
373,2017.0,10.1039/c7ee00098g,Figure 4(b),x= 0.15,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,,Zintl,Mg3Sb2,MgNbSbBiTe,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,
374,2017.0,10.1039/c7ee01193h,Figure 5(b),1 mol% In,Cu2Se + 1 mol% In,,Cu2Q,Cu2Se,CuSeIn,Cu2Se + 1 mol% In,
375,2017.0,10.1039/c7ee01871a,Figure 1(b),PbTe0.998I0.002-3%Sb,,,PbTe,PbTe,PbTeISb,PbTe0.998I0.002 + 3% Sb composite,
