sample_id,tepname,Temperature,tepvalue
4,ZT,1000.0,1.25262
4,ZT,1050.0,1.31516
4,ZT,1100.0,1.36955
4,ZT,1150.0,1.41582
4,ZT,1200.0,1.46208
6,alpha,298.269,6.3091e-05
6,alpha,346.333,7.03964e-05
6,alpha,396.923,7.889509999999999e-05
6,alpha,448.773,8.85814e-05
6,alpha,498.085,9.94385e-05
6,alpha,547.438,0.0001020209999999
6,alpha,598.004,0.000115248
6,alpha,647.292,0.0001308329999999
6,alpha,697.864,0.0001428779999999
6,alpha,747.17,0.000154917
6,alpha,797.699,0.0001752359999999
6,alpha,846.987,0.000190822
6,alpha,897.535,0.0002075949999999
6,alpha,948.136,0.000213729
6,alpha,997.478,0.0002186759999999
6,rho,298.997,3.67466027765733e-05
6,rho,349.833,3.530412740553498e-05
6,rho,399.331,3.601812432015791e-05
6,rho,447.492,3.3918311139451744e-05
6,rho,499.666,3.324600715454074e-05
6,rho,550.502,3.4604351151113744e-05
6,rho,600.0,3.530412740553498e-05
6,rho,648.161,3.748983088337288e-05
6,rho,698.997,4.061589950001828e-05
6,rho,751.171,4.061589950001828e-05
6,rho,799.331,4.143720812666526e-05
6,rho,850.167,4.767171351207048e-05
6,rho,899.666,5.595344673231871e-05
6,rho,950.502,5.8239422264931134e-05
6,rho,1000.0,6.061891916467129e-05
6,kappa,298.163,0.486416
6,kappa,348.933,0.544164
6,kappa,399.661,0.584189
6,kappa,447.827,0.611581
6,kappa,498.537,0.644011
6,kappa,549.241,0.67391
6,kappa,599.903,0.686088
6,kappa,651.644,0.619772
6,kappa,698.28,0.535784
6,kappa,750.154,0.525164
6,kappa,799.502,0.517101
6,kappa,849.977,0.450797
6,kappa,899.343,0.450328
6,kappa,949.885,0.411873
6,kappa,1000.41,0.368354
6,ZT,299.005,0.0646204
6,ZT,351.741,0.0928918
6,ZT,400.497,0.109047
6,ZT,448.259,0.161551
6,ZT,500.0,0.210016
6,ZT,551.741,0.234249
6,ZT,598.507,0.319063
6,ZT,649.254,0.468498
6,ZT,748.756,0.836026
6,ZT,800.497,1.16721
6,ZT,849.254,1.47011
6,ZT,900.0,1.57512
6,ZT,949.751,1.80533
6,ZT,1000.5,2.09208
7,alpha,77.0055,1.07064e-05
7,alpha,97.7948,1.57291e-05
7,alpha,119.835,2.65327e-05
7,alpha,140.651,3.66156e-05
7,alpha,161.455,4.45298e-05
7,alpha,179.816,5.24484e-05
7,alpha,201.849,6.18062e-05
7,alpha,219.057,8.2739e-05
7,alpha,242.311,9.20946e-05
7,alpha,264.359,0.0001043439999999
7,alpha,280.307,0.00011805
7,alpha,298.732,0.000138258
7,alpha,324.441,0.000149778
7,alpha,352.636,0.0001699679999999
7,alpha,367.356,0.00018223
7,alpha,386.954,0.000193038
7,alpha,412.684,0.000208895
7,alpha,435.969,0.000224034
7,alpha,459.242,0.0002370039999999
7,alpha,478.843,0.000248535
7,alpha,502.116,0.000261505
7,alpha,525.389,0.000274475
7,alpha,546.212,0.000286004
7,alpha,570.68,0.000293911
7,alpha,592.702,0.0003011
7,alpha,614.724,0.0003082889999999
7,alpha,637.948,0.000311862
7,alpha,661.192,0.0003190489999999
7,alpha,681.985,0.000324794
7,alpha,703.988,0.000328369
7,alpha,723.541,0.0003305029999999
7,alpha,744.297,0.000329019
7,alpha,765.067,0.000330427
7,rho,79.884,2.0498000000000003e-05
7,rho,99.5642,2.6504500000000003e-05
7,rho,121.68,3.18872e-05
7,rho,141.337,3.66488e-05
7,rho,162.2,4.03724e-05
7,rho,180.597,4.306e-05
7,rho,202.72,4.8857700000000005e-05
7,rho,220.963,4.3039100000000006e-05
7,rho,241.642,3.65968e-05
7,rho,263.544,3.015390000000001e-05
7,rho,295.221,2.30835e-05
7,rho,305.014,2.34933e-05
7,rho,317.258,2.4109400000000003e-05
7,rho,329.498,2.4518e-05
7,rho,349.088,2.55452e-05
7,rho,376.033,2.73984e-05
7,rho,401.758,2.94598e-05
7,rho,427.483,3.15211e-05
7,rho,450.762,3.35837e-05
7,rho,478.945,3.62662e-05
7,rho,507.124,3.87412e-05
7,rho,534.091,4.18393e-05
7,rho,564.721,4.45205e-05
7,rho,592.908,4.741050000000001e-05
7,rho,621.068,4.88481e-05
7,rho,651.675,5.02846e-05
7,rho,684.736,5.213460000000001e-05
7,rho,705.561,5.37836e-05
7,rho,720.269,5.54357e-05
7,rho,734.959,5.605050000000001e-05
7,rho,745.987,5.70821e-05
7,rho,764.354,5.811e-05
7,kappa,296.448,2.16914
7,kappa,328.323,1.97802
7,kappa,377.338,1.74694
7,kappa,423.892,1.55619
7,kappa,474.108,1.38574
7,kappa,487.586,1.32548
7,kappa,524.309,1.2557
7,kappa,574.503,1.14585
7,kappa,624.674,1.09662
7,kappa,674.849,1.03728
7,kappa,723.793,0.998108
7,kappa,771.507,0.979111
7,ZT,300.041,0.0984988
7,ZT,328.948,0.146178
7,ZT,358.603,0.210739
7,ZT,389.005,0.292182
7,ZT,419.41,0.382067
7,ZT,449.078,0.480399
7,ZT,480.234,0.595608
7,ZT,509.912,0.719268
7,ZT,539.589,0.840114
7,ZT,569.265,0.958146
7,ZT,599.683,1.0818
7,ZT,628.613,1.18577
7,ZT,659.021,1.28409
7,ZT,689.425,1.36835
7,ZT,720.563,1.43853
7,ZT,749.471,1.48621
7,ZT,770.221,1.51142
9,alpha,297.701,0.0001865339999999
9,alpha,309.195,0.000188529
9,alpha,321.073,0.0001915209999999
9,alpha,332.184,0.000195511
9,alpha,342.912,0.0001965089999999
9,alpha,354.789,0.0002004989999999
9,alpha,366.284,0.0002004989999999
9,alpha,377.778,0.000204489
9,alpha,388.506,0.0002054859999999
9,alpha,400.0,0.000206484
9,alpha,411.494,0.000208479
9,alpha,422.988,0.000209476
