sample_id,SID,noerr_read_mat,autoTc,autoTh,noerr_autoTcTh_range,len_alpha,len_rho,len_kappa,noerr_negative_rho_or_kappa_over_autoTcTh,rawT_min_of_tep,rawT_min_of_alpha,rawT_min_of_rho,rawT_min_of_kappa,rawT_min_of_PF,rawT_min_of_zT,rawT_max_of_tep,rawT_max_of_alpha,rawT_max_of_rho,rawT_max_of_kappa,rawT_max_of_PF,rawT_max_of_zT,rawrho_min,rawrho_max,rawalpha_min,rawalpha_max,rawkappa_min,rawkappa_max,rawPF_min,rawPF_max,rawzT_min,rawzT_max,alpha_min,alpha_MAX,rho_min,rho_MAX,kappa_min,kappa_MAX,PF_min,PF_MAX,z_min,z_MAX,zT_min,zT_MAX,T_at_zT_MAX,T_at_kappa_min,Lorenz_min,Lorenz_max,LorenzBar,alphaBar_T,rhoBar_T,kappaBar_T,Zgen0,ZgenTmid0,alphaNode,rhoNode,kappaNode,zT_peak_rawdata,T_of_zT_peak_rawdata,zT_MAX_tep / zT_peak_rawdata,T_at_zT_MAX_tep / T_of_zT_peak_rawdata
29058,5739,True,325.3042,898.9247,True,10.0,10.0,10.0,True,49.46237,325.3042,295.1569,49.46237,,50.88044,1179.978,1179.978,1174.501,898.9247,,911.6038,4.641792846068865e-06,1.3096696973733134e-05,-8.469388e-05,-3.469388e-05,3.090523,10.36984,,,0.01132472,0.2742349,-6.600609976808713e-05,-3.469388e-05,4.814522918066482e-06,1.0123857311474764e-05,3.090523,6.918180709883035,0.0002500071824225096,0.0004702507928157616,3.613770627086387e-05,0.00014101268010665682,0.011755747628278355,0.12517380711956705,898.9247,325.3042,3.480604534487808e-08,3.480604534487808e-08,5.59073027666696e-08,-5.1808379704371904e-05,6.607892334262596e-06,4.714641492004608,8.615656743811274e-05,0.05273767989126829,1.0,1.0,1.0,0.2742349,911.6038,0.45644740009228235,0.9860914357750593
29059,5739,True,323.4901,898.9247,True,10.0,10.0,10.0,True,42.47525,323.4901,302.0747,45.16129,,42.47525,1176.88,1172.621,1176.88,898.9247,,902.6042,2.9084165794868795e-05,7.09778620048407e-05,-0.0001479592,-7.142857e-05,2.741685,10.78645,,,0.007778776,0.1930204,-0.00011206091755802263,-7.142857e-05,3.009966288669411e-05,5.5882081203597054e-05,2.741685,5.742848123280512,0.0001621412289034588,0.00025648593167416315,2.9515826494474478e-05,8.915154344678082e-05,0.009548077664280197,0.07367862867729938,898.9247,323.4901,1.5544055062562802e-07,1.5544055062562802e-07,2.5955565257884806e-07,-9.159656621008543e-05,3.792604349819988e-05,3.7676654569297434,5.871492545911289e-05,0.03588699693105819,1.0,1.0582959515478694,1.0,0.1930204,902.6042,0.38171420573835396,0.9959234623548173
29060,5739,True,323.2886,894.6237,True,10.0,10.0,10.0,True,42.30244,323.2886,304.829,47.31183,,42.30244,1185.42,1185.42,1162.733,894.6237,,897.6067,4.032610917971451e-05,0.00010714093243253523,-0.0001459184,-7.55102e-05,2.390848,11.27582,,,0.002763137,0.1679682,-0.0001236069115911651,-7.55102e-05,4.07956517141867e-05,7.492760606723002e-05,2.390848,5.869876602229722,0.00013976465786075923,0.00023866677792325946,2.381049335988911e-05,9.89354680518315e-05,0.007697661063627846,0.08851001448976129,894.6237,323.2886,1.7262078964944157e-07,1.7262078964944157e-07,3.8181673857506797e-07,-0.00010177033758464388,5.512537658316304e-05,3.8617095991482437,4.8653182012943966e-05,0.029627654403851605,1.0,1.3644607817042744,1.0,0.1679682,897.6067,0.5269450675173115,0.9966767182107709
5952,5750,True,300.0,499.6357,True,11.0,11.0,11.0,True,300.0,300.0,300.0,300.0,300.0,300.3044,500.0,500.0,500.0,499.6357,500.0,500.0,1.2985903282550659e-05,1.8413083158455075e-05,-0.0001734752,-0.000151773,0.9235955,1.044944,0.001511244,0.001854685,0.5470871,0.7920126,-0.00017347519047850556,-0.000151773,1.2985903282550659e-05,1.8404681387428738e-05,0.9235987029436528,1.044944,0.0015129211723662107,0.0018517107846498689,0.0014478490448925593,0.0020010184217374603,0.5449253011277553,0.788515882596441,439.41542631315656,499.6357,3.770761538198345e-08,3.770761538198345e-08,3.857566288077579e-08,-0.00016752609554120796,1.5957438791907187e-05,0.9640897895089416,0.001824249612867788,0.7293675580801313,1.3044615233698598,1.0,1.4364923762290687,0.7920126,439.4216,0.9955850230115544,0.9999859504247323
5953,5750,True,300.0,500.0,True,11.0,11.0,11.0,True,299.6956,300.0,300.0,300.0,300.0,299.6956,500.3044,500.0,500.0,500.0,500.0,500.3044,1.4165889077405392e-05,1.9474697304779792e-05,-0.0001809929,-0.000158156,0.8609952,0.9505618,0.001577683,0.001896593,0.5942197,0.8936304,-0.00018099253350891805,-0.000158156,1.4165889077405392e-05,1.9474697304779792e-05,0.8609974733546443,0.9505618,0.0015782934308953848,0.0018958156360220201,0.0016603796101372734,0.002199452830942571,0.5914290137666758,0.8904614569923738,439.7698849424712,500.0,3.6730049759652596e-08,3.6730049759652596e-08,3.7980773585207484e-08,-0.00017498564007001352,1.706247412085102e-05,0.8857546405020804,0.002026046361056498,0.8104185444225993,1.2484367212170127,1.0,1.3870807490423247,0.8936304,439.726,0.9964538549632753,1.0000998006542057
5954,5750,True,300.0,500.0,True,11.0,11.0,11.0,True,299.3912,299.635,300.0,300.0,300.0,299.3912,500.3643,500.0,500.0,500.3643,499.635,500.0,1.5621787769889816e-05,2.021948657062141e-05,-0.0001899291,-0.000162695,0.7945425,0.8735152,0.001693186,0.001905792,0.6163133,1.042228,-0.00018992858545511976,-0.00016282634969885478,1.5621787769889816e-05,2.021948657062141e-05,0.7945472923494182,0.8730083133484229,0.0016971437934494961,0.0019098524992972113,0.0019560314858880134,0.0023947276412588973,0.6125843817751541,1.0379939675505214,459.77988994497247,500.0,3.475210086042681e-08,3.475210086042681e-08,3.716945807558405e-08,-0.00018242895915413816,1.806427582208221e-05,0.8154001278500492,0.0022594161541383195,0.9037664616553278,1.15175816091737,1.0,1.466375624286688,1.042228,460.1218,0.99593751803878,0.9992569140279214
5955,5750,True,300.0,499.6357,True,11.0,11.0,11.0,True,299.3912,299.635,300.0,300.0,300.365,299.3912,500.0,500.0,500.0,499.6357,500.0,499.6956,1.6926502586792757e-05,2.1096458917177835e-05,-0.0001980142,-0.0001678014,0.6914928,0.7463884,0.00166661,0.001922147,0.6825872,1.242375,-0.00019801395737092803,-0.0001679103267296213,1.6926502586792757e-05,2.1090667131173275e-05,0.6914928,0.7463884,0.0016656646981785244,0.001921397664505515,0.002281682141227467,0.0027577140301337454,0.68450464236824,1.2449143511344052,479.6621432216108,499.6357,3.145131071673216e-08,3.145131071673216e-08,3.461941648453892e-08,-0.00018910980677298356,1.934632516917074e-05,0.706871331204628,0.0026151057193226036,1.0455659462222668,1.0509677783463662,1.0,1.7017556962670957,1.242375,480.2131,1.0020439489964021,0.9988526827394146
5956,5750,True,299.2714,498.9071,True,11.0,11.0,11.0,True,298.9071,299.2701,298.9071,299.2714,300.0,300.0,500.365,499.2701,499.6357,498.9071,500.365,499.6956,1.5384615384615384e-05,1.8841028072001363e-05,-0.0001868085,-0.0001560284,0.741573,0.7791332,0.001589949,0.00189046,0.6221998,1.180081,-0.00018680830857380006,-0.0001560288077431512,1.5395080420418023e-05,1.8833208331297984e-05,0.741573,0.7791332,0.0015813485984432552,0.0018953973682714095,0.0020524586739357636,0.0025304599018429225,0.6142421807908995,1.1777015817767802,498.9071,498.9071,2.9411443279582226e-08,2.9411443279582226e-08,3.339305610272141e-08,-0.0001777680564611294,1.7474421932821817e-05,0.7528251026217782,0.0024022076115017294,0.9586952340185165,1.0226026880568269,1.0,1.769231793227939,1.180081,499.6956,0.9979836822868772,0.9984220393375487
5957,5750,True,300.7286,500.3643,True,11.0,11.0,11.0,True,300.0,300.0,300.3643,300.7286,300.0,300.2435,500.4262,500.365,500.3643,500.3643,500.0,500.4262,1.3954556706992546e-05,1.6580310880829015e-05,-0.0001731915,-0.0001499291,0.8513644,0.8966292,0.001610392,0.001845486,0.5417856,1.005113,-0.00017319014658390074,-0.00015011788237467017,1.3965370514191869e-05,1.6580310880829015e-05,0.8513644,0.8966292,0.0016136613479573948,0.001847051970589492,0.0017996975203990622,0.0021647313885220557,0.5412205157330814,1.0076915966259492,500.3643,300.7286,2.9232438033213764e-08,2.9232438033213764e-08,3.407809069252943e-08,-0.00016644034210665817,1.5553466366816915e-05,0.8641383884904303,0.002061136273873601,0.8255808174662987,1.0675663083149132,1.0,1.680851345858151,1.005113,500.4262,1.0025654793301344,0.9998763054372454
5958,5750,True,300.3643,500.0,True,11.0,11.0,10.0,True,299.635,299.635,300.0,300.3643,300.365,299.8782,500.365,500.365,500.0,500.3643,500.365,500.0609,1.3211647018085028e-05,1.5365174892566696e-05,-0.0001629787,-0.0001408511,0.9216693,0.9842697,0.001505111,0.001760647,0.4604923,0.8973098,-0.00016297868200057286,-0.000141063681065662,1.3219322342229089e-05,1.5365174892566696e-05,0.9216693,0.9842697,0.0015052936603435132,0.0017567377573251576,0.0015293508073483447,0.0019060391371668315,0.45936238470362045,0.8992750800332006,500.0,300.3643,2.8880785875967262e-08,2.8880785875967262e-08,3.4722174606590106e-08,-0.0001571100136729974,1.4566020208354727e-05,0.9375251959021638,0.001807523184323424,0.7233385140773941,1.0830976522661635,1.0,1.2898355103826147,0.8973098,500.0609,1.002190191206204,0.9998782148334333
