DOI,sample_id,YEAR,DOIlink,dbnanme,dbversion,pykeri_compatible,TF_matzt_complete,TF_mat_complete,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval,cri_product_def,cri_product_1o2,cri_product_1o5
10.1109/ICT.2007.4569410,264,2007.0,https://DOI.org/10.1109/ICT.2007.4569410,tematdb,v1.1.6,True,True,True,0.9886363636363636,True,299.827,473.117,299.13,474.783,300.0,472.0,300.0,474.0,300.0,472.0,172.0,174.0,172.0,0.5508776521751811,0.5300401384065038,1.3043597144896502,1.270583366677808,1.0,0.0208375137686773,0.0337763478118422,0.0395961805954446,0.0244035120337268,0.0226861458199546,True,True,True,True,0.0718783570890854,0.0747041171532507,0.0303567951045906,0.0311637800666136,True,True,False
10.1109/ICT.1997.667089,265,1997.0,https://DOI.org/10.1109/ICT.1997.667089,tematdb,v1.1.6,True,True,True,0.9809523809523808,True,306.5503,720.284,301.3243,719.326,308.0,720.0,302.0,718.0,308.0,718.0,412.0,416.0,410.0,0.5265115373936063,0.558024910385451,0.7144214398309412,0.7507140047291392,-4.0,-0.0315133729918446,-0.0362925648981979,0.0631645643460543,0.0318713478247584,0.0266119231543789,True,True,True,True,0.1199680536132946,0.1131930907930686,0.0884135901086639,0.0841393179668259,True,False,False
10.1109/ICT.1997.667089,266,1997.0,https://DOI.org/10.1109/ICT.1997.667089,tematdb,v1.1.6,True,True,True,0.985781990521327,True,303.0576,721.394,304.4304,724.598,304.0,720.0,306.0,724.0,306.0,720.0,416.0,418.0,414.0,0.4590965201125902,0.4945710811652956,0.5707058822431396,0.646897351100091,3.0,-0.0354745610527054,-0.0761914688569513,0.0842613144508842,0.0476216582753219,0.0425055900861645,True,True,True,True,0.183537253626361,0.1703725059143165,0.1476440265863356,0.130254536222157,True,False,False
10.1016/S0925-8388(02)01114-3,267,2003.0,https://DOI.org/10.1016/S0925-8388(02)01114-3,tematdb,v1.1.6,True,True,True,0.9840425531914894,True,290.4,660.1967386281112,288.611,664.625,292.0,660.0,290.0,664.0,292.0,660.0,368.0,374.0,368.0,0.6761929292666337,0.6721056303065394,0.867384821584529,0.8413141271341738,1.0,0.0040872989600942,0.0260706944503552,0.1016305273830636,0.0390525697713943,0.0315234126567734,True,True,True,True,0.1502981220068172,0.151212135117379,0.1171689022611741,0.120799739485244,False,False,False
10.1088/0957-4484/19/24/245707,268,2008.0,https://DOI.org/10.1088/0957-4484/19/24/245707,tematdb,v1.1.6,True,True,True,0.9900497512437813,True,314.628,714.198,316.545,716.545,316.0,714.0,318.0,716.0,318.0,714.0,398.0,398.0,396.0,1.0218539470926271,1.02626238602414,1.5322715007066194,1.589273341493849,2.0,-0.0044084389315128,-0.0570018407872294,0.0657669758088099,0.023566948799435,0.0181003877731112,True,True,True,True,0.0643604460264891,0.0640839776498083,0.0429212288934963,0.041381790087155,True,False,False
10.1007/s11664-009-0993-y,269,2010.0,https://DOI.org/10.1007/s11664-009-0993-y,tematdb,v1.1.6,True,True,True,0.9488372093023256,True,300.0,706.04,297.11,727.746,300.0,706.0,298.0,726.0,300.0,706.0,406.0,428.0,406.0,0.933070556730825,0.9160252860834676,1.4948366284663033,1.3962557116718346,9.0,0.0170452706473573,0.0985809167944686,0.0307741577588219,0.012621256051541,0.0094914444656204,True,True,True,True,0.0329815977332353,0.0335953146996619,0.0205869706246067,0.0220404883586645,True,False,False
10.1007/s11664-009-0779-2,270,2009.0,https://DOI.org/10.1007/s11664-009-0779-2,tematdb,v1.1.6,True,True,True,0.981132075471698,True,100.947,309.28,98.6982,310.872,102.0,308.0,100.0,310.0,102.0,308.0,206.0,210.0,206.0,0.1086018223378979,0.1082480278652595,0.2962689042966803,0.3033509731227415,0.0,0.0003537944726384,-0.0070820688260612,0.0133483433749597,0.0035442540117826,0.002525536998476,True,True,True,True,0.1229108599432925,0.1233125779582322,0.0450548241188107,0.0440029686984347,True,False,False
10.1021/ja7110652,271,2008.0,https://DOI.org/10.1021/ja7110652,tematdb,v1.1.6,True,True,True,0.9752475247524752,True,302.4,696.561,296.925,701.128,304.0,696.0,298.0,700.0,304.0,696.0,392.0,402.0,392.0,0.829170370724493,0.79361668940396,1.5072137153537202,1.3861348819979142,-1.0,0.0355536813205329,0.1210788333558059,0.1112693133335367,0.0436674078608632,0.0381622067413751,True,True,True,True,0.1341935472637721,0.1402053596139778,0.0738245095569764,0.0802730778790863,False,False,False
10.1109/ICT.2003.1287500,272,2003.0,https://DOI.org/10.1109/ICT.2003.1287500,tematdb,v1.1.6,True,True,True,0.9803921568627452,True,236.273,337.675,235.264,337.757,238.0,336.0,236.0,336.0,238.0,336.0,98.0,100.0,98.0,0.42670652276473,0.428731688153515,0.566133972206322,0.5615626453191762,-1.0,-0.002025165388785,0.0045713268871457,0.0052314332317837,0.0023950590825773,0.0020310296440145,True,True,True,True,0.0122600263944597,0.0122021146939586,0.0092406276404786,0.0093158497549464,True,True,True
10.1016/j.jssc.2009.05.024,273,2009.0,https://DOI.org/10.1016/j.jssc.2009.05.024,tematdb,v1.1.6,True,True,True,1.0,True,324.885583524027,754.519450800915,325.046963055729,754.915466499687,326.0,754.0,326.0,754.0,326.0,754.0,428.0,428.0,428.0,0.9200890864494178,0.9188870805728104,1.3740617431675648,1.3769381243134131,0.0,0.0012020058766072,-0.0028763811458483,0.0445167744629804,0.0088097805869816,0.0048244140252182,True,True,True,True,0.0483831132426194,0.0484464037030859,0.0323979433124729,0.0323302650111296,True,True,False
