SID,sample_id,is_extendable_tep,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval
27,544,True,0.9967637540453075,True,328.287,945.5457,329.252,947.6491,330.0,944.0,330.0,946.0,330.0,944.0,614.0,616.0,614.0,0.16553186465108885,0.16819858762149364,0.3444652494322981,0.3539408024164091,1.0,-0.0026667229704047946,-0.009475552984110958,0.010937987727549114,0.004924878368189111,0.0039889925666570965,True,True,True,True,0.06607783794742124,0.06503019961239781,0.0317535302779472,0.030903438238467466
27,545,True,0.9935064935064936,True,330.6332,942.8993,331.8021,946.374,332.0,942.0,332.0,946.0,332.0,942.0,610.0,614.0,610.0,0.38895669694664237,0.38597227480161905,0.7920951345590823,0.7853111340537557,2.0,0.0029844221450233133,0.006784000505326571,0.011559390179606388,0.005361108733744551,0.004438050476054158,True,True,True,True,0.02971896427121326,0.029948757810512816,0.014593436665964236,0.014719503746161239
27,546,True,1.0,True,329.4856,942.4158,329.252,943.824,330.0,942.0,330.0,942.0,330.0,942.0,612.0,612.0,612.0,0.6209699393374495,0.6225392494907582,1.2558381425491822,1.2723595450668534,0.0,-0.001569310153308745,-0.016521402517671202,0.018629100931897402,0.008081618001321268,0.006574301601771479,True,True,True,True,0.030000004431412444,0.029924379783501435,0.014833998347974076,0.014641381049975598
29,25066,True,0.9696969696969697,True,423.5163,1003.904,408.6957,998.419,424.0,1002.0,410.0,998.0,424.0,998.0,578.0,588.0,574.0,0.026682237661139432,0.024021673809470782,0.07074427107878327,0.06420854872959587,-9.0,0.00266056385166865,0.006535722349187395,0.0057581855862514145,0.0023497957027155967,0.001878876076262886,True,True,True,True,0.21580594773869943,0.23970792509809175,0.08139437297811578,0.08967942275881519
29,25067,True,0.9632107023411371,True,424.3891,1004.459,407.1146,1000.0,426.0,1004.0,408.0,1000.0,426.0,1000.0,578.0,592.0,574.0,0.0473272406888832,0.04187821942006893,0.07981651,0.07180987876812035,-11.0,0.005449021268814268,0.00800663123187964,0.014188921430348223,0.005754691636536178,0.004793079952321953,True,True,True,True,0.29980453590401457,0.33881386617761955,0.17776925388429315,0.19759010422737722
29,25068,True,0.9493243243243243,True,435.6871,996.1441,405.5336,996.8379,436.0,996.0,406.0,996.0,436.0,996.0,560.0,590.0,560.0,0.0378933817586972,0.034581470093279054,0.0666055,0.06477044595470685,-15.0,0.003311911665418145,0.0018350540452931469,0.00860532748835801,0.004155614344898076,0.0037075130127835277,True,True,True,True,0.2270931515998288,0.24884215347543784,0.129198451904993,0.1328588581029009
29,25069,True,0.9503311258278145,True,426.8804,1006.109,403.9526,1000.0,428.0,1006.0,404.0,1000.0,428.0,1000.0,578.0,596.0,572.0,0.042538017250642414,0.0374854402992195,0.06712081405538743,0.07005641586274672,-15.0,0.005052576951422916,-0.0029356018073592866,0.010427016035871421,0.005891905396955276,0.005462612194070666,True,True,True,True,0.24512228612897916,0.2781617596762903,0.15534698413024536,0.14883741777912027
29,25071,True,0.9461279461279462,True,424.881,986.7185,407.1146,1000.0,426.0,986.0,408.0,1000.0,426.0,986.0,560.0,592.0,560.0,0.05525219234345455,0.03332683244054105,0.08087450106013838,0.0577789254403186,-2.0,0.0219253599029135,0.02309557561981978,0.035024396402696015,0.024498150901228175,0.02358311009472726,True,True,True,True,0.6339005733017792,1.0509368529152483,0.433070942553968,0.6061794354218936
32,10165,True,0.9968454258675079,True,329.0,963.0,331.0,963.0,330.0,962.0,332.0,962.0,332.0,962.0,632.0,630.0,630.0,0.17270044400218634,1.7031839384748442e-07,0.38126206896551723,3.754786675917355e-07,1.0,0.17270027368379248,0.38126169348684963,0.38126169348684963,0.20352206898693798,0.17270027322964107,True,True,True,True,2.2076474423078087,2238523.3025873844,0.9999990151690972,1015401.7428798436
32,10220,True,0.9694189602446484,True,329.0,963.0,327.0,980.0,330.0,962.0,328.0,980.0,330.0,962.0,632.0,652.0,632.0,0.2622140469005421,2.525436419087931e-07,0.558,5.44896546051038e-07,8.0,0.26221379435690023,0.557999455103454,0.5395129686169674,0.295204263080628,0.25474083495468197,True,True,True,True,2.0575288585573177,2136315.7850230657,0.9668691193852461,990120.0008091695
32,10221,True,0.9748427672955975,True,329.0,965.0,339.0,958.0,330.0,964.0,340.0,958.0,340.0,958.0,634.0,618.0,618.0,0.20418642405046958,1.9920367835824603e-07,0.442,4.3185195000300636e-07,2.0,0.20418622484679122,0.44199956814805,0.44199957297101194,0.23711590887399656,0.20418622444305873,True,True,True,True,2.164686389050827,2218832.38609743,0.9999990338710677,1023497.9209146444
33,10249,True,0.956,True,294.2432,772.4404,290.8136,790.8136,296.0,772.0,292.0,790.0,296.0,772.0,476.0,498.0,476.0,0.24875724777606895,0.23500151451981527,0.35460041699856065,0.3397738897070591,7.0,0.013755733256253677,0.014826527291501579,0.03202155651858224,0.013480561238905326,0.011178719555521417,True,True,True,True,0.12872612478575102,0.13626106446170239,0.0903032116815368,0.09424372351327549
33,10251,True,0.9596774193548387,True,298.7754,774.4716,290.8136,786.8766,300.0,774.0,292.0,786.0,300.0,774.0,474.0,494.0,474.0,0.13423739891278827,0.1322810266389433,0.23046511112776222,0.21833849935011473,2.0,0.0019563722738449585,0.012126611777647484,0.007685936875229393,0.0027900282920825105,0.002157210045254318,True,True,True,True,0.05725630068430344,0.05810309362209521,0.03334967638970987,0.035201931396004874
33,10252,True,0.932,True,308.1445,774.0829,292.126,792.126,310.0,774.0,294.0,792.0,310.0,774.0,464.0,498.0,464.0,0.30915825968378546,0.2962879571054547,0.5768026896558731,0.5425103330401164,1.0,0.012870302578330772,0.03429235661575669,0.028703326282930264,0.013970709085861862,0.010785798075980338,True,True,True,True,0.09284347218246318,0.09687645277028316,0.04976281629347982,0.05290834945406979
33,10253,True,0.9,True,325.5867,774.653,289.5013,789.5013,326.0,774.0,290.0,788.0,326.0,774.0,448.0,498.0,448.0,0.270115892639163,0.2729540469620311,0.42409631888281774,0.41120645191168803,-11.0,-0.0028381543228681028,0.012889866971129704,0.009830117012965767,0.005081373767689412,0.004109625110464621,True,True,True,True,0.036392220083464044,0.036013816693229575,0.023178972736337122,0.023905551499169845
33,10254,True,0.9036144578313253,True,327.3653,777.64,290.8136,788.189,328.0,776.0,292.0,788.0,328.0,776.0,448.0,496.0,448.0,0.15633514445766117,0.15999681798296145,0.285640411816477,0.2776599887816682,-12.0,-0.0036616735253002797,0.007980423034808781,0.010845057452480794,0.004245710959352653,0.0036799370351969043,True,True,True,True,0.06937056597288566,0.06778295711878293,0.03796751791356717,0.03905876932455171
33,10255,True,0.9598393574297188,True,294.6795,773.1757,290.566,789.2183,296.0,772.0,292.0,788.0,296.0,772.0,476.0,496.0,476.0,0.17354006244571066,0.1712804697644149,0.29803002785698796,0.28799363169799647,6.0,0.0022595926812957468,0.01003639615899149,0.007949950760606686,0.0029730781753382245,0.002484682951553768,True,True,True,True,0.04581046386965376,0.046414811750232376,0.026674999219949515,0.027604606094010352
33,10256,True,0.9637096774193549,True,294.2363,772.9729,291.9137,787.8706,296.0,772.0,292.0,786.0,296.0,772.0,476.0,494.0,476.0,0.2482051284476569,0.24812959843644145,0.35930466178451076,0.3606891956476646,5.0,7.553001121546332e-05,-0.0013845338631538473,0.010059900831619978,0.003317760356258854,0.0025459845733376086,True,True,True,True,0.04053059215390658,0.04054292956185486,0.027998247452890826,0.027890773976625805
